target_end_date,quantile,value,type,location,forecast_date,target
2022-09-09,0.35,112.738655,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.4,117.68098,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.45,122.57402,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.5,129.17596,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.55,132.4091,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.6,137.10507,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.65,143.13788,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.7,147.89986,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.75,155.53833,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.8,162.5683,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.85,172.69707,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.9,187.84534,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.95,211.6203,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.975,239.73235,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-09,0.99,273.56543,quantile,01,2022-08-28,12 day ahead inc hosp
2022-09-10,0.01,44.479393,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.025,56.845554,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.05,63.589046,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.1,74.61492,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.15,79.98189,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.2,87.066925,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.25,93.04969,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.3,98.34337,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.35,99.727905,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.4,105.41896,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.45,109.66574,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.5,117.960846,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.55,121.29981,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.6,125.227295,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.65,130.26376,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.7,136.58638,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.75,142.27168,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.8,149.49362,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.85,158.62012,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.9,172.30302,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.95,197.63518,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.975,225.2597,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-10,0.99,258.67996,quantile,01,2022-08-28,13 day ahead inc hosp
2022-09-11,0.01,34.50715,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.025,49.450607,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.05,58.806717,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.1,73.03909,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.15,78.97276,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.2,86.54921,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.25,94.07352,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.3,98.8499,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.35,100.573814,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.4,106.786415,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.45,112.731255,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.5,117.96175,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.55,124.46671,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.6,127.65814,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.65,132.4068,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.7,139.33846,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.75,145.73357,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.8,152.89551,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.85,162.82845,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.9,176.73975,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.95,202.32564,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.975,231.39279,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-11,0.99,267.81705,quantile,01,2022-08-28,14 day ahead inc hosp
2022-09-12,0.01,45.340813,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.025,59.03228,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.05,68.53005,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.1,80.0852,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.15,86.48874,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.2,92.986984,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.25,99.741425,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.3,103.41157,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.35,103.65989,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.4,111.85152,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.45,117.159676,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.5,122.61668,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.55,129.47064,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.6,131.78165,quantile,01,2022-08-28,15 day ahead inc hosp
2022-09-12,0.65,136.36276,quantile,01,2022-08-28,15 day ahead inc hosp
