value,target,target_end_date,type,quantile,forecast_date,location
183.29192924499512,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,36083
157.5943832397461,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37165
93.59553241729805,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37165
1834.3917083740234,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,55131
1312.7135925292987,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,55131
1376.7190628051758,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,38101
1053.6839599609375,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,38101
5.850294768810272,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,16033
4.152800023555756,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,16033
31.35158181190485,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,51037
21.542422533035335,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,51037
67.19352960586548,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,56031
49.03763866424555,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,56031
39.037447690963745,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48419
27.452032566070443,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48419
47.239219903945866,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,51099
26.887637853622437,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,51099
100.86905002593983,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,19051
71.59441184997547,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,19051
53.123103618621826,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,29035
39.42601203918457,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,29035
737.5213737487793,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,37025
423.1769256591797,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,37025
1398.9058074951172,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,15003
1118.4914932250977,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,15003
132.21858501434326,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,30027
91.68684482574463,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,30027
201.42832946777344,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,19075
135.08262634277366,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,19075
465.77991867065475,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21199
299.14210510253906,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21199
5009.574890136719,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,25009
3930.629638671875,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,25009
679.3421936035156,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,29021
470.3153991699219,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,29021
2499.9119873046875,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48121
1550.095199584961,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48121
279.6242923736572,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,18031
194.12142944335938,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,18031
156.39917850494385,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,01039
105.8547744750972,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,01039
58.242332458496094,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,36025
42.09308195114136,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,36025
42.62517952919018,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,48365
30.138849496841317,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,48365
2722.748580932617,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,12071
1717.5306701660083,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,12071
1.8954450935125315,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,02275
1.6085533052682948,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,02275
116.0755615234375,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,49029
78.0936336517334,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,49029
580.2443313598633,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,13045
332.12589263916016,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,13045
948.2483291625977,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,21117
673.1031494140625,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,21117
50.26424312591547,1 wk ahead inc case,2020-12-05,point,NA,2020-11-24,31065
36.191327095031795,2 wk ahead inc case,2020-12-12,point,NA,2020-11-24,31065
